
2023-07-06 12:06:55 python3.10 04_nn.py is not running
2023-07-06 12:06:56 python3.10 04_nn.py is not running
2023-07-06 12:06:57 python3.10 04_nn.py is not running
2023-07-06 12:06:58 python3.10 04_nn.py is not running
2023-07-06 12:06:59 python3.10 04_nn.py is not running
2023-07-06 12:07:00 python3.10 04_nn.py is not running
2023-07-06 12:07:01 python3.10 04_nn.py is not running
2023-07-06 12:07:02 python3.10 04_nn.py is not running
2023-07-06 12:07:03 python3.10 04_nn.py is not running
2023-07-06 12:07:04 python3.10 04_nn.py is not running
2023-07-06 12:07:05 python3.10 04_nn.py is not running
2023-07-06 12:07:06 python3.10 04_nn.py is not running
2023-07-06 12:07:08 python3.10 04_nn.py is not running
2023-07-06 12:07:09   23459    1961 95.0  1.0 python3.10 04_nn.py
2023-07-06 12:07:10   23459    1961 85.5  1.5 python3.10 04_nn.py
2023-07-06 12:07:11   23459    1961 84.3  4.1 python3.10 04_nn.py
2023-07-06 12:07:12   23459    1961 82.5  5.4 python3.10 04_nn.py
2023-07-06 12:07:13   23459    1961 82.6  5.8 python3.10 04_nn.py
2023-07-06 12:07:14   23459    1961 81.8  6.2 python3.10 04_nn.py
2023-07-06 12:07:15   23459    1961 81.8  6.5 python3.10 04_nn.py
2023-07-06 12:07:16   23459    1961 80.5  7.1 python3.10 04_nn.py
2023-07-06 12:07:17   23459    1961 82.6  7.5 python3.10 04_nn.py
2023-07-06 12:07:18   23459    1961 74.8  8.0 python3.10 04_nn.py
2023-07-06 12:07:19   23459    1961 75.2  8.2 python3.10 04_nn.py
2023-07-06 12:07:20   23459    1961 75.6  8.5 python3.10 04_nn.py
2023-07-06 12:07:21   23459    1961 78.0  9.2 python3.10 04_nn.py
2023-07-06 12:07:23   23459    1961 76.8  9.9 python3.10 04_nn.py
2023-07-06 12:07:24   23459    1961 73.4 11.2 python3.10 04_nn.py
2023-07-06 12:07:25   23459    1961 69.9 12.4 python3.10 04_nn.py
2023-07-06 12:07:26   23459    1961 66.8 13.7 python3.10 04_nn.py
2023-07-06 12:07:27   23459    1961 64.1 14.9 python3.10 04_nn.py
2023-07-06 12:07:28   23459    1961 61.5 16.1 python3.10 04_nn.py
2023-07-06 12:07:29   23459    1961 59.5 17.3 python3.10 04_nn.py
2023-07-06 12:07:30   23459    1961 57.9 18.6 python3.10 04_nn.py
2023-07-06 12:07:31   23459    1961 53.6 19.8 python3.10 04_nn.py
2023-07-06 12:07:32   23459    1961 52.0 21.1 python3.10 04_nn.py
2023-07-06 12:07:33   23459    1961 50.6 22.3 python3.10 04_nn.py
2023-07-06 12:07:34   23459    1961 52.2 24.7 python3.10 04_nn.py
2023-07-06 12:07:36   23459    1961 54.1 31.6 python3.10 04_nn.py
2023-07-06 12:07:37   23459    1961 56.0 42.2 python3.10 04_nn.py
2023-07-06 12:07:38   23459    1961 58.0 35.9 python3.10 04_nn.py
2023-07-06 12:07:39   23459    1961 61.8 36.0 python3.10 04_nn.py
2023-07-06 12:07:40   23459    1961 65.5 36.0 python3.10 04_nn.py
2023-07-06 12:07:41   23459    1961 69.0 36.0 python3.10 04_nn.py
2023-07-06 12:07:42   23459    1961 72.1 36.0 python3.10 04_nn.py
2023-07-06 12:07:43   23459    1961 75.0 36.0 python3.10 04_nn.py
2023-07-06 12:07:44   23459    1961 77.9 36.0 python3.10 04_nn.py
2023-07-06 12:07:45   23459    1961 78.4 36.0 python3.10 04_nn.py
2023-07-06 12:07:46   23459    1961 80.8 36.1 python3.10 04_nn.py
2023-07-06 12:07:47   23459    1961 83.2 36.1 python3.10 04_nn.py
2023-07-06 12:07:49   23459    1961 85.4 36.1 python3.10 04_nn.py
2023-07-06 12:07:50   23459    1961 87.6 36.1 python3.10 04_nn.py
2023-07-06 12:07:51   23459    1961 89.7 36.1 python3.10 04_nn.py
2023-07-06 12:07:52   23459    1961 91.6 36.1 python3.10 04_nn.py
2023-07-06 12:07:53   23459    1961 93.5 36.1 python3.10 04_nn.py
2023-07-06 12:07:54   23459    1961 95.4 36.1 python3.10 04_nn.py
2023-07-06 12:07:55   23459    1961 97.1 36.1 python3.10 04_nn.py
2023-07-06 12:07:56   23459    1961 98.7 36.1 python3.10 04_nn.py
2023-07-06 12:07:57   23459    1961 97.8 36.1 python3.10 04_nn.py
2023-07-06 12:07:58   23459    1961 98.0 36.1 python3.10 04_nn.py
2023-07-06 12:07:59   23459    1961 98.2 36.1 python3.10 04_nn.py
2023-07-06 12:08:00   23459    1961 97.5 36.4 python3.10 04_nn.py
2023-07-06 12:08:02   23459    1961 95.7 36.4 python3.10 04_nn.py
2023-07-06 12:08:03   23459    1961 93.9 36.4 python3.10 04_nn.py
2023-07-06 12:08:04   23459    1961 92.2 36.4 python3.10 04_nn.py
2023-07-06 12:08:05   23459    1961 90.6 36.4 python3.10 04_nn.py
2023-07-06 12:08:06   23459    1961 89.1 36.4 python3.10 04_nn.py
2023-07-06 12:08:07   23459    1961 87.5 36.4 python3.10 04_nn.py
2023-07-06 12:08:08   23459    1961 86.1 36.4 python3.10 04_nn.py
2023-07-06 12:08:09   23459    1961 84.7 36.4 python3.10 04_nn.py
2023-07-06 12:08:10   23459    1961 83.5 36.6 python3.10 04_nn.py
2023-07-06 12:08:11   23459    1961 83.7 36.9 python3.10 04_nn.py
2023-07-06 12:08:12   23459    1961 83.0 37.8 python3.10 04_nn.py
2023-07-06 12:08:13   23459    1961 80.7 39.0 python3.10 04_nn.py
2023-07-06 12:08:14   23459    1961 80.4 46.8 python3.10 04_nn.py
2023-07-06 12:08:15   23459    1961 80.8 38.1 python3.10 04_nn.py
2023-07-06 12:08:17   23459    1961 81.2 44.9 python3.10 04_nn.py
2023-07-06 12:08:18   23459    1961 81.6 54.5 python3.10 04_nn.py
2023-07-06 12:08:19   23459    1961 82.1 50.0 python3.10 04_nn.py
2023-07-06 12:08:20   23459    1961 83.4 50.1 python3.10 04_nn.py
2023-07-06 12:08:21   23459    1961 84.7 50.1 python3.10 04_nn.py
2023-07-06 12:08:22   23459    1961 85.9 50.1 python3.10 04_nn.py
2023-07-06 12:08:23   23459    1961 87.1 50.1 python3.10 04_nn.py
2023-07-06 12:08:24   23459    1961 88.3 50.1 python3.10 04_nn.py
2023-07-06 12:08:25   23459    1961 89.5 50.1 python3.10 04_nn.py
2023-07-06 12:08:26   23459    1961 89.4 50.1 python3.10 04_nn.py
2023-07-06 12:08:27   23459    1961 90.5 50.1 python3.10 04_nn.py
2023-07-06 12:08:28   23459    1961 91.6 50.2 python3.10 04_nn.py
2023-07-06 12:08:30   23459    1961 92.6 50.2 python3.10 04_nn.py
2023-07-06 12:08:31   23459    1961 93.6 50.2 python3.10 04_nn.py
2023-07-06 12:08:32   23459    1961 94.7 50.2 python3.10 04_nn.py
2023-07-06 12:08:33   23459    1961 95.6 50.2 python3.10 04_nn.py
2023-07-06 12:08:34   23459    1961 96.5 50.2 python3.10 04_nn.py
2023-07-06 12:08:35   23459    1961 97.4 50.2 python3.10 04_nn.py
2023-07-06 12:08:36   23459    1961 98.4 50.2 python3.10 04_nn.py
2023-07-06 12:08:37   23459    1961 99.2 50.2 python3.10 04_nn.py
2023-07-06 12:08:38   23459    1961 99.8 50.2 python3.10 04_nn.py
2023-07-06 12:08:39   23459    1961 98.8 37.2 python3.10 04_nn.py
2023-07-06 12:08:40   23459    1961 98.9 37.2 python3.10 04_nn.py
2023-07-06 12:08:41   23459    1961 98.0 37.2 python3.10 04_nn.py
2023-07-06 12:08:42   23459    1961 97.0 37.2 python3.10 04_nn.py
2023-07-06 12:08:44   23459    1961 96.0 37.2 python3.10 04_nn.py
2023-07-06 12:08:45   23459    1961 95.0 37.2 python3.10 04_nn.py
2023-07-06 12:08:46   23459    1961 94.0 37.2 python3.10 04_nn.py
2023-07-06 12:08:47   23459    1961 93.1 37.2 python3.10 04_nn.py
2023-07-06 12:08:48   23459    1961 92.1 37.2 python3.10 04_nn.py
2023-07-06 12:08:49   23459    1961 91.2 37.2 python3.10 04_nn.py
2023-07-06 12:08:50   23459    1961 90.3 37.2 python3.10 04_nn.py
2023-07-06 12:08:51   23459    1961 90.0 37.2 python3.10 04_nn.py
2023-07-06 12:08:52   23459    1961 90.1 40.1 python3.10 04_nn.py
2023-07-06 12:08:53   23459    1961 89.4 41.4 python3.10 04_nn.py
2023-07-06 12:08:54   23459    1961 88.5 37.7 python3.10 04_nn.py
2023-07-06 12:08:55   23459    1961 88.7 41.4 python3.10 04_nn.py
2023-07-06 12:08:56   23459    1961 88.8 48.5 python3.10 04_nn.py
2023-07-06 12:08:57   23459    1961 89.0 62.0 python3.10 04_nn.py
2023-07-06 12:08:59   23459    1961 89.6 50.4 python3.10 04_nn.py
2023-07-06 12:09:00   23459    1961 90.4 50.4 python3.10 04_nn.py
2023-07-06 12:09:01   23459    1961 91.1 50.4 python3.10 04_nn.py
2023-07-06 12:09:02   23459    1961 91.9 50.4 python3.10 04_nn.py
2023-07-06 12:09:03   23459    1961 92.6 50.4 python3.10 04_nn.py
2023-07-06 12:09:04   23459    1961 93.3 50.5 python3.10 04_nn.py
2023-07-06 12:09:05   23459    1961 94.0 50.5 python3.10 04_nn.py
2023-07-06 12:09:06   23459    1961 94.7 50.5 python3.10 04_nn.py
2023-07-06 12:09:07   23459    1961 94.6 50.5 python3.10 04_nn.py
2023-07-06 12:09:08   23459    1961 95.3 50.5 python3.10 04_nn.py
2023-07-06 12:09:09   23459    1961 96.0 50.5 python3.10 04_nn.py
2023-07-06 12:09:11   23459    1961 96.6 50.5 python3.10 04_nn.py
2023-07-06 12:09:12   23459    1961 97.2 50.5 python3.10 04_nn.py
2023-07-06 12:09:13   23459    1961 97.9 50.5 python3.10 04_nn.py
2023-07-06 12:09:14   23459    1961 98.5 50.5 python3.10 04_nn.py
2023-07-06 12:09:15   23459    1961 99.1 50.5 python3.10 04_nn.py
2023-07-06 12:09:16   23459    1961 99.7 50.5 python3.10 04_nn.py
2023-07-06 12:09:17   23459    1961  100 50.5 python3.10 04_nn.py
2023-07-06 12:09:18   23459    1961  100 50.5 python3.10 04_nn.py
2023-07-06 12:09:19   23459    1961  100 50.5 python3.10 04_nn.py
2023-07-06 12:09:20   23459    1961 99.3 50.5 python3.10 04_nn.py
2023-07-06 12:09:21   23459    1961 98.6 50.5 python3.10 04_nn.py
2023-07-06 12:09:22   23459    1961 97.8 50.5 python3.10 04_nn.py
2023-07-06 12:09:23   23459    1961 97.1 50.5 python3.10 04_nn.py
2023-07-06 12:09:24   23459    1961 96.4 50.5 python3.10 04_nn.py
2023-07-06 12:09:26   23459    1961 95.7 50.5 python3.10 04_nn.py
2023-07-06 12:09:27   23459    1961 95.0 50.5 python3.10 04_nn.py
2023-07-06 12:09:28   23459    1961 94.3 50.5 python3.10 04_nn.py
2023-07-06 12:09:29   23459    1961 93.7 50.5 python3.10 04_nn.py
2023-07-06 12:09:30   23459    1961 93.1 50.5 python3.10 04_nn.py
2023-07-06 12:09:31   23459    1961 93.3 11.6 python3.10 04_nn.py
2023-07-06 12:09:32 python3.10 04_nn.py is not running
2023-07-06 12:09:33 python3.10 04_nn.py is not running
2023-07-06 12:09:34 python3.10 04_nn.py is not running
2023-07-06 12:09:35 python3.10 04_nn.py is not running
2023-07-06 12:09:36 python3.10 04_nn.py is not running
2023-07-06 12:09:37   24731    1961 55.0  0.5 python3.10 04_nn.py
2023-07-06 12:09:38   24731    1961 66.5  1.3 python3.10 04_nn.py
2023-07-06 12:09:39   24731    1961 72.0  2.7 python3.10 04_nn.py
2023-07-06 12:09:40   24731    1961 76.0  5.2 python3.10 04_nn.py
2023-07-06 12:09:42   24731    1961 77.6  5.7 python3.10 04_nn.py
2023-07-06 12:09:43   24731    1961 78.1  6.1 python3.10 04_nn.py
2023-07-06 12:09:44   24731    1961 78.7  6.4 python3.10 04_nn.py
2023-07-06 12:09:45   24731    1961 78.7  6.9 python3.10 04_nn.py
2023-07-06 12:09:46   24731    1961 81.7  7.5 python3.10 04_nn.py
2023-07-06 12:09:47   24731    1961 81.5  8.0 python3.10 04_nn.py
2023-07-06 12:09:48   24731    1961 80.8  8.2 python3.10 04_nn.py
2023-07-06 12:09:49   24731    1961 80.8  8.5 python3.10 04_nn.py
2023-07-06 12:09:50   24731    1961 82.4  9.0 python3.10 04_nn.py
2023-07-06 12:09:51   24731    1961 83.7 13.8 python3.10 04_nn.py
2023-07-06 12:09:52   24731    1961 79.0 15.0 python3.10 04_nn.py
2023-07-06 12:09:53   24731    1961 70.6 16.3 python3.10 04_nn.py
2023-07-06 12:09:54   24731    1961 71.6 22.5 python3.10 04_nn.py
2023-07-06 12:09:55   24731    1961 73.5 28.0 python3.10 04_nn.py
2023-07-06 12:09:56   24731    1961 75.2 35.1 python3.10 04_nn.py
2023-07-06 12:09:58   24731    1961 76.7 43.5 python3.10 04_nn.py
2023-07-06 12:09:59   24731    1961 80.1 35.9 python3.10 04_nn.py
2023-07-06 12:10:00   24731    1961 84.1 35.9 python3.10 04_nn.py
2023-07-06 12:10:01   24731    1961 88.0 35.9 python3.10 04_nn.py
2023-07-06 12:10:02   24731    1961 91.4 36.0 python3.10 04_nn.py
2023-07-06 12:10:03   24731    1961 94.7 36.0 python3.10 04_nn.py
2023-07-06 12:10:04   24731    1961 97.7 36.0 python3.10 04_nn.py
2023-07-06 12:10:05   24731    1961  100 36.0 python3.10 04_nn.py
2023-07-06 12:10:06   24731    1961  103 36.0 python3.10 04_nn.py
2023-07-06 12:10:07   24731    1961  102 36.0 python3.10 04_nn.py
2023-07-06 12:10:08   24731    1961  104 36.0 python3.10 04_nn.py
2023-07-06 12:10:09   24731    1961  106 36.0 python3.10 04_nn.py
2023-07-06 12:10:11   24731    1961  108 36.0 python3.10 04_nn.py
2023-07-06 12:10:12   24731    1961  110 36.0 python3.10 04_nn.py
2023-07-06 12:10:13   24731    1961  112 36.0 python3.10 04_nn.py
2023-07-06 12:10:14   24731    1961  114 36.0 python3.10 04_nn.py
2023-07-06 12:10:15   24731    1961  115 36.0 python3.10 04_nn.py
2023-07-06 12:10:16   24731    1961  117 36.0 python3.10 04_nn.py
2023-07-06 12:10:17   24731    1961  118 36.0 python3.10 04_nn.py
2023-07-06 12:10:18   24731    1961  118 36.1 python3.10 04_nn.py
2023-07-06 12:10:19   24731    1961  115 36.1 python3.10 04_nn.py
2023-07-06 12:10:20   24731    1961  115 36.2 python3.10 04_nn.py
2023-07-06 12:10:21   24731    1961  113 36.4 python3.10 04_nn.py
2023-07-06 12:10:22   24731    1961  110 36.4 python3.10 04_nn.py
2023-07-06 12:10:23   24731    1961  108 36.4 python3.10 04_nn.py
2023-07-06 12:10:25   24731    1961  106 36.4 python3.10 04_nn.py
2023-07-06 12:10:26   24731    1961  104 36.4 python3.10 04_nn.py
2023-07-06 12:10:27   24731    1961  101 36.4 python3.10 04_nn.py
2023-07-06 12:10:28   24731    1961 99.9 36.4 python3.10 04_nn.py
2023-07-06 12:10:29   24731    1961 98.0 36.4 python3.10 04_nn.py
2023-07-06 12:10:30   24731    1961 96.1 36.4 python3.10 04_nn.py
2023-07-06 12:10:31   24731    1961 94.3 36.4 python3.10 04_nn.py
2023-07-06 12:10:32   24731    1961 92.6 36.4 python3.10 04_nn.py
2023-07-06 12:10:33   24731    1961 91.0 36.4 python3.10 04_nn.py
2023-07-06 12:10:34   24731    1961 87.8 36.4 python3.10 04_nn.py
2023-07-06 12:10:35   24731    1961 86.3 36.4 python3.10 04_nn.py
2023-07-06 12:10:36   24731    1961 84.9 36.4 python3.10 04_nn.py
2023-07-06 12:10:38   24731    1961 83.5 36.4 python3.10 04_nn.py
2023-07-06 12:10:39   24731    1961 82.2 36.4 python3.10 04_nn.py
2023-07-06 12:10:40   24731    1961 80.9 36.4 python3.10 04_nn.py
2023-07-06 12:10:41   24731    1961 79.6 36.4 python3.10 04_nn.py
2023-07-06 12:10:42   24731    1961 78.4 36.4 python3.10 04_nn.py
2023-07-06 12:10:43   24731    1961 77.2 36.4 python3.10 04_nn.py
2023-07-06 12:10:44   24731    1961 76.0 36.4 python3.10 04_nn.py
2023-07-06 12:10:45   24731    1961 74.9 36.4 python3.10 04_nn.py
