,time,cpu_avg,power_all,power_cpu,power_gpu,%CPU,%mem
0,18:15:00,0.0125,3.27776,3.27776,0.0,7.0,7.0
1,18:15:01,0.04489,3.09054,3.09054,0.0,7.0,7.0
2,18:15:02,0.01759,3.23603,3.23603,0.0,7.0,7.0
3,18:15:03,0.015,3.25657,3.25657,0.0,7.0,7.0
5,18:15:05,0.0225,3.20072,3.20072,0.0,7.0,7.0
6,18:15:06,0.02764,3.16853,3.16853,0.0,7.0,7.0
7,18:15:07,0.0025,3.37695,3.37695,0.0,7.0,7.0
8,18:15:08,0.02,3.21811,3.21811,0.0,7.0,7.0
9,18:15:09,0.01746,3.23704,3.23704,0.0,7.0,7.0
10,18:15:10,0.01253,3.27748,3.27748,0.0,7.0,7.0
11,18:15:11,0.02,3.21811,3.21811,0.0,7.0,7.0
12,18:15:12,0.03258,3.14175,3.14175,0.0,7.0,7.0
13,18:15:13,0.01253,3.27748,3.27748,0.0,7.0,7.0
14,18:15:14,0.01253,3.27748,3.27748,0.0,7.0,7.0
15,18:15:15,0.0175,3.23671,3.23671,0.0,7.0,7.0
16,18:15:16,0.01253,3.27748,3.27748,0.0,7.0,7.0
17,18:15:17,0.03258,3.14175,3.14175,0.0,7.0,7.0
18,18:15:18,0.02261,3.19996,3.19996,0.0,7.0,7.0
19,18:15:19,0.03008,3.15484,3.15484,0.0,7.0,7.0
20,18:15:20,0.01508,3.25595,3.25595,0.0,7.0,7.0
22,18:15:22,0.015,3.25657,3.25657,0.0,7.0,7.0
23,18:15:23,0.0225,3.20072,3.20072,0.0,7.0,7.0
24,18:15:24,0.025,3.18448,3.18448,0.0,7.0,7.0
25,18:15:25,0.0,3.40568,3.40568,0.0,7.0,7.0
26,18:15:26,0.04,3.10844,3.10844,0.0,7.0,7.0
27,18:15:27,0.01496,3.25688,3.25688,0.0,7.0,7.0
28,18:15:28,0.01253,3.27748,3.27748,0.0,7.0,7.0
29,18:15:29,0.02,3.21811,3.21811,0.0,7.0,7.0
30,18:15:30,0.01253,3.27748,3.27748,0.0,7.0,7.0
31,18:15:31,0.03008,3.15484,3.15484,0.0,7.0,7.0
32,18:15:32,0.02,3.21811,3.21811,0.0,7.0,7.0
33,18:15:33,0.015,3.25657,3.25657,0.0,7.0,7.0
34,18:15:34,0.01253,3.27748,3.27748,0.0,7.0,7.0
35,18:15:35,0.0225,3.20072,3.20072,0.0,7.0,7.0
36,18:15:36,0.03,3.15525,3.15525,0.0,7.0,7.0
37,18:15:37,0.015,3.25657,3.25657,0.0,7.0,7.0
38,18:15:38,0.02,3.21811,3.21811,0.0,7.0,7.0
40,18:15:40,0.01496,3.25688,3.25688,0.0,7.0,7.0
41,18:15:41,0.03015,3.15443,3.15443,0.0,7.0,7.0
42,18:15:42,0.0125,3.27776,3.27776,0.0,7.0,7.0
43,18:15:43,0.00251,3.37688,3.37688,0.0,7.0,7.0
44,18:15:44,0.02005,3.21775,3.21775,0.0,7.0,7.0
45,18:15:45,0.01496,3.25688,3.25688,0.0,7.0,7.0
46,18:15:46,0.01253,3.27748,3.27748,0.0,7.0,7.0
47,18:15:47,0.03759,3.1184,3.1184,0.0,7.0,7.0
48,18:15:48,0.015,3.25657,3.25657,0.0,7.0,7.0
49,18:15:49,0.01253,3.27748,3.27748,0.0,7.0,7.0
50,18:15:50,0.01759,3.23603,3.23603,0.0,7.0,7.0
51,18:15:51,0.01504,3.25626,3.25626,0.0,7.0,7.0
52,18:15:52,0.02743,3.16974,3.16974,0.0,7.0,7.0
53,18:15:53,0.02005,3.21775,3.21775,0.0,7.0,7.0
54,18:15:54,0.0125,3.27776,3.27776,0.0,7.0,7.0
55,18:15:55,0.01005,3.29985,3.29985,0.0,7.0,7.0
56,18:15:56,0.0225,3.20072,3.20072,0.0,7.0,7.0
58,18:15:58,0.015,3.25657,3.25657,0.0,7.0,7.0
59,18:15:59,0.02005,3.21775,3.21775,0.0,7.0,7.0
60,18:16:00,0.01496,3.25688,3.25688,0.0,7.0,7.0
61,18:16:01,0.01508,3.25595,3.25595,0.0,7.0,7.0
62,18:16:02,0.0125,3.27776,3.27776,0.0,7.0,7.0
63,18:16:03,0.01754,3.23637,3.23637,0.0,7.0,7.0
64,18:16:04,0.01003,3.30009,3.30009,0.0,7.0,7.0
65,18:16:05,0.02244,3.2011,3.2011,0.0,7.0,7.0
66,18:16:06,0.01253,3.27748,3.27748,0.0,7.0,7.0
67,18:16:07,0.015,3.25657,3.25657,0.0,7.0,7.0
68,18:16:08,0.03526,3.1288,3.1288,0.0,7.0,7.0
69,18:16:09,0.03,3.15525,3.15525,0.0,7.0,7.0
70,18:16:10,0.01253,3.27748,3.27748,0.0,7.0,7.0
71,18:16:11,0.02005,3.21775,3.21775,0.0,7.0,7.0
72,18:16:12,0.01995,3.21847,3.21847,0.0,7.0,7.0
73,18:16:13,0.01253,3.27748,3.27748,0.0,7.0,7.0
74,18:16:14,0.03242,3.14257,3.14257,0.0,7.0,7.0
75,18:16:15,0.02,3.21811,3.21811,0.0,7.0,7.0
77,18:16:17,0.0225,3.20072,3.20072,0.0,7.0,7.0
78,18:16:18,0.01253,3.27748,3.27748,0.0,7.0,7.0
79,18:16:19,0.02506,3.18408,3.18408,0.0,7.0,7.0
80,18:16:20,0.00998,3.30055,3.30055,0.0,7.0,7.0
81,18:16:21,0.00756,3.32377,3.32377,0.0,7.0,7.0
82,18:16:22,0.01496,3.25688,3.25688,0.0,7.0,7.0
83,18:16:23,0.02005,3.21775,3.21775,0.0,7.0,7.0
84,18:16:24,0.015,3.25657,3.25657,0.0,7.0,7.0
